rowid,week,location,pathogen,year,num_cases,current_week
3418,52,UNITED STATES,crypto,2010,8944,187
3419,52,NEW ENGLAND,crypto,2010,490,4
3420,52,Conn.,crypto,2010,77,0
3421,52,Maine,crypto,2010,93,0
3422,52,Mass.,crypto,2010,173,2
3423,52,N.H.,crypto,2010,59,2
3424,52,R.I.,crypto,2010,18,0
3425,52,Vt.,crypto,2010,70,0
3426,52,MID. ATLANTIC,crypto,2010,875,25
3427,52,N.J.,crypto,2010,52,1
3428,52,N.Y. (Upstate),crypto,2010,228,13
3429,52,N.Y. City,crypto,2010,107,2
3430,52,Pa.,crypto,2010,488,9
3431,52,E.N. CENTRAL,crypto,2010,2403,22
3432,52,Ill.,crypto,2010,334,1
3433,52,Ind.,crypto,2010,285,5
3434,52,Mich.,crypto,2010,320,4
3435,52,Ohio,crypto,2010,476,9
3436,52,Wis.,crypto,2010,988,3
3437,52,W.N. CENTRAL,crypto,2010,1854,18
3438,52,Iowa,crypto,2010,396,4
3439,52,Kans.,crypto,2010,107,1
3440,52,Minn.,crypto,2010,397,3
3441,52,Mo.,crypto,2010,548,1
3442,52,Nebr.,crypto,2010,264,5
3443,52,N. Dak.,crypto,2010,35,4
3444,52,S. Dak.,crypto,2010,107,0
3445,52,S. ATLANTIC,crypto,2010,1080,23
3446,52,Del.,crypto,2010,9,0
3447,52,D.C.,crypto,2010,8,0
3448,52,Fla.,crypto,2010,408,7
3449,52,Ga.,crypto,2010,266,3
3450,52,Md.,crypto,2010,42,2
3451,52,N.C.,crypto,2010,94,0
3452,52,S.C.,crypto,2010,123,3
3453,52,Va.,crypto,2010,109,7
3454,52,W. Va.,crypto,2010,21,1
3455,52,E.S. CENTRAL,crypto,2010,348,3
3456,52,Ala.,crypto,2010,184,0
3457,52,Ky.,crypto,2010,85,2
3458,52,Miss.,crypto,2010,24,0
3459,52,Tenn.,crypto,2010,55,1
3460,52,W.S. CENTRAL,crypto,2010,578,62
3461,52,Ark.,crypto,2010,33,0
3462,52,La.,crypto,2010,66,0
3463,52,Okla.,crypto,2010,120,34
3464,52,Tex.,crypto,2010,359,28
3465,52,MOUNTAIN,crypto,2010,608,11
3466,52,Ariz.,crypto,2010,40,2
3467,52,Colo.,crypto,2010,134,2
3468,52,Idaho,crypto,2010,110,3
3469,52,Mont.,crypto,2010,49,0
3470,52,Nev.,crypto,2010,38,0
3471,52,N. Mex.,crypto,2010,137,3
3472,52,Utah,crypto,2010,72,1
3473,52,Wyo.,crypto,2010,28,0
3474,52,PACIFIC,crypto,2010,708,19
3476,52,Calif.,crypto,2010,381,9
3478,52,Oreg.,crypto,2010,218,1
3479,52,Wash.,crypto,2010,102,9
13870,52,UNITED STATES,stec,2010,5476,264
13871,52,NEW ENGLAND,stec,2010,210,1
13872,52,Conn.,stec,2010,60,0
13873,52,Maine,stec,2010,21,0
13874,52,Mass.,stec,2010,83,1
13875,52,N.H.,stec,2010,21,0
13876,52,R.I.,stec,2010,3,0
13877,52,Vt.,stec,2010,22,0
13878,52,MID. ATLANTIC,stec,2010,579,12
13879,52,N.J.,stec,2010,128,1
13880,52,N.Y. (Upstate),stec,2010,211,10
13881,52,N.Y. City,stec,2010,79,0
13882,52,Pa.,stec,2010,161,1
13883,52,E.N. CENTRAL,stec,2010,812,7
13884,52,Ill.,stec,2010,156,1
13885,52,Ind.,stec,2010,143,3
13886,52,Mich.,stec,2010,155,2
13887,52,Ohio,stec,2010,137,0
13888,52,Wis.,stec,2010,221,1
13889,52,W.N. CENTRAL,stec,2010,911,10
13890,52,Iowa,stec,2010,170,0
13891,52,Kans.,stec,2010,77,0
13892,52,Minn.,stec,2010,290,2
13893,52,Mo.,stec,2010,236,0
13894,52,Nebr.,stec,2010,82,4
13895,52,N. Dak.,stec,2010,21,4
13896,52,S. Dak.,stec,2010,35,0
13897,52,S. ATLANTIC,stec,2010,759,27
13898,52,Del.,stec,2010,6,0
13899,52,D.C.,stec,2010,9,0
13900,52,Fla.,stec,2010,239,15
13901,52,Ga.,stec,2010,102,3
13902,52,Md.,stec,2010,107,1
13903,52,N.C.,stec,2010,97,0
13904,52,S.C.,stec,2010,24,0
13905,52,Va.,stec,2010,149,7
13906,52,W. Va.,stec,2010,26,1
13907,52,E.S. CENTRAL,stec,2010,276,6
13908,52,Ala.,stec,2010,56,1
13909,52,Ky.,stec,2010,70,0
13910,52,Miss.,stec,2010,30,0
13911,52,Tenn.,stec,2010,120,5
13912,52,W.S. CENTRAL,stec,2010,524,151
13913,52,Ark.,stec,2010,48,0
13914,52,La.,stec,2010,21,1
13915,52,Okla.,stec,2010,104,55
13916,52,Tex.,stec,2010,351,95
13917,52,MOUNTAIN,stec,2010,676,4
13918,52,Ariz.,stec,2010,100,1
13919,52,Colo.,stec,2010,219,0
13920,52,Idaho,stec,2010,112,3
