rowid,week,location,pathogen,year,num_cases,current_week
10404,52,UNITED STATES,crypto,2014,8542,123
10405,52,NEW ENGLAND,crypto,2014,316,4
10406,52,Conn.,crypto,2014,44,1
10407,52,Maine,crypto,2014,51,0
10408,52,Mass.,crypto,2014,138,3
10409,52,N.H.,crypto,2014,40,0
10410,52,R.I.,crypto,2014,16,0
10411,52,Vt.,crypto,2014,27,0
10412,52,MID. ATLANTIC,crypto,2014,777,11
10413,52,N.J.,crypto,2014,77,1
10414,52,N.Y. (Upstate),crypto,2014,233,2
10415,52,N.Y. City,crypto,2014,102,2
10416,52,Pa.,crypto,2014,365,6
10417,52,E.N. CENTRAL,crypto,2014,1440,17
10418,52,Ill.,crypto,2014,156,0
10419,52,Ind.,crypto,2014,184,7
10420,52,Mich.,crypto,2014,238,2
10421,52,Ohio,crypto,2014,323,1
10422,52,Wis.,crypto,2014,539,7
10423,52,W.N. CENTRAL,crypto,2014,1236,15
10424,52,Iowa,crypto,2014,262,1
10425,52,Kans.,crypto,2014,66,1
10426,52,Minn.,crypto,2014,336,5
10427,52,Mo.,crypto,2014,166,3
10428,52,Nebr.,crypto,2014,108,2
10429,52,N. Dak.,crypto,2014,146,1
10430,52,S. Dak.,crypto,2014,152,2
10431,52,S. ATLANTIC,crypto,2014,2586,37
10432,52,Del.,crypto,2014,8,0
10433,52,D.C.,crypto,2014,5,0
10434,52,Fla.,crypto,2014,1864,23
10435,52,Ga.,crypto,2014,240,5
10436,52,Md.,crypto,2014,79,1
10437,52,N.C.,crypto,2014,166,0
10438,52,S.C.,crypto,2014,63,0
10439,52,Va.,crypto,2014,152,8
10440,52,W. Va.,crypto,2014,9,0
10441,52,E.S. CENTRAL,crypto,2014,389,14
10442,52,Ala.,crypto,2014,138,7
10443,52,Ky.,crypto,2014,79,0
10444,52,Miss.,crypto,2014,66,0
10445,52,Tenn.,crypto,2014,106,7
10446,52,W.S. CENTRAL,crypto,2014,786,9
10447,52,Ark.,crypto,2014,55,0
10448,52,La.,crypto,2014,244,2
10449,52,Okla.,crypto,2014,83,0
10450,52,Tex.,crypto,2014,404,7
10451,52,MOUNTAIN,crypto,2014,480,9
10452,52,Ariz.,crypto,2014,46,0
10453,52,Colo.,crypto,2014,75,1
10454,52,Idaho,crypto,2014,99,2
10455,52,Mont.,crypto,2014,65,1
10456,52,Nev.,crypto,2014,15,0
10457,52,N. Mex.,crypto,2014,85,2
10458,52,Utah,crypto,2014,67,3
10459,52,Wyo.,crypto,2014,28,0
10460,52,PACIFIC,crypto,2014,532,7
10462,52,Calif.,crypto,2014,353,4
10464,52,Oreg.,crypto,2014,112,1
10465,52,Wash.,crypto,2014,60,2
6920,52,UNITED STATES,stec,2014,6008,73
6921,52,NEW ENGLAND,stec,2014,218,5
6922,52,Conn.,stec,2014,58,3
6923,52,Maine,stec,2014,33,0
6924,52,Mass.,stec,2014,92,1
6925,52,N.H.,stec,2014,16,1
6926,52,R.I.,stec,2014,4,0
6927,52,Vt.,stec,2014,15,0
6928,52,MID. ATLANTIC,stec,2014,568,9
6929,52,N.J.,stec,2014,124,0
6930,52,N.Y. (Upstate),stec,2014,192,5
6931,52,N.Y. City,stec,2014,70,0
6932,52,Pa.,stec,2014,182,4
6933,52,E.N. CENTRAL,stec,2014,863,4
6934,52,Ill.,stec,2014,194,0
6935,52,Ind.,stec,2014,117,0
6936,52,Mich.,stec,2014,131,0
6937,52,Ohio,stec,2014,202,2
6938,52,Wis.,stec,2014,219,2
6939,52,W.N. CENTRAL,stec,2014,1008,6
6940,52,Iowa,stec,2014,224,2
6941,52,Kans.,stec,2014,89,2
6942,52,Minn.,stec,2014,328,2
6943,52,Mo.,stec,2014,180,0
6944,52,Nebr.,stec,2014,107,0
6945,52,N. Dak.,stec,2014,39,0
6946,52,S. Dak.,stec,2014,41,0
6947,52,S. ATLANTIC,stec,2014,509,3
6948,52,Del.,stec,2014,14,0
6949,52,D.C.,stec,2014,5,0
6950,52,Fla.,stec,2014,116,0
6951,52,Ga.,stec,2014,96,0
6952,52,Md.,stec,2014,74,0
6953,52,N.C.,stec,2014,51,0
6954,52,S.C.,stec,2014,15,0
6955,52,Va.,stec,2014,121,3
