rowid,week,location,num_cases,pathogen,year,current_week
15935,52,U.S. Residents excluding U.S. Territories,12533,crypto,2018,450
15936,52,New England,626,crypto,2018,9
15937,52,Connecticut,81,crypto,2018,4
15938,52,Maine,60,crypto,2018,1
15939,52,Massachusetts,242,crypto,2018,3
15940,52,New Hampshire,86,crypto,2018,0
15941,52,Rhode Island,90,crypto,2018,1
15942,52,Vermont,67,crypto,2018,0
15943,52,Middle Atlantic,1192,crypto,2018,32
15944,52,New Jersey,164,crypto,2018,5
15945,52,New York (excluding New York City),323,crypto,2018,15
15946,52,New York City,248,crypto,2018,7
15947,52,Pennsylvania,457,crypto,2018,5
15948,52,East North Central,2628,crypto,2018,33
15949,52,Illinois,425,crypto,2018,4
15950,52,Indiana,324,crypto,2018,6
15951,52,Michigan,378,crypto,2018,8
15952,52,Ohio,639,crypto,2018,7
15953,52,Wisconsin,862,crypto,2018,8
15954,52,West North Central,2025,crypto,2018,19
15955,52,Iowa,663,crypto,2018,9
15956,52,Kansas,95,crypto,2018,0
15957,52,Minnesota,530,crypto,2018,4
15958,52,Missouri,351,crypto,2018,3
15959,52,Nebraska,170,crypto,2018,2
15960,52,North Dakota,39,crypto,2018,0
15961,52,South Dakota,177,crypto,2018,1
15962,52,South Atlantic,1852,crypto,2018,41
15963,52,Delaware,31,crypto,2018,0
15964,52,District of Columbia,36,crypto,2018,1
15965,52,Florida,586,crypto,2018,11
15966,52,Georgia,350,crypto,2018,3
15967,52,Maryland,85,crypto,2018,0
15968,52,North Carolina,263,crypto,2018,5
15969,52,South Carolina,121,crypto,2018,2
15970,52,Virginia,309,crypto,2018,17
15971,52,West Virginia,71,crypto,2018,2
15972,52,East South Central,679,crypto,2018,13
15973,52,Alabama,152,crypto,2018,5
15974,52,Kentucky,178,crypto,2018,1
15975,52,Mississippi,98,crypto,2018,2
15976,52,Tennessee,251,crypto,2018,5
15977,52,West South Central,1384,crypto,2018,75
15978,52,Arkansas,82,crypto,2018,1
15979,52,Louisiana,155,crypto,2018,2
15980,52,Oklahoma,164,crypto,2018,23
15981,52,Texas,983,crypto,2018,49
15982,52,Mountain,965,crypto,2018,14
15983,52,Arizona,203,crypto,2018,4
15984,52,Colorado,215,crypto,2018,4
15985,52,Idaho,129,crypto,2018,5
15986,52,Montana,81,crypto,2018,0
15987,52,Nevada,38,crypto,2018,0
15988,52,New Mexico,89,crypto,2018,1
15989,52,Utah,193,crypto,2018,0
