year,week,pathogen,num_cases,current_week,state
1996,52,ecoli,4383,21,US
1996,52,ecoli,543,1,NE
1996,52,ecoli,269,2,MIDATL
1996,52,ecoli,1010,3,ENC
1996,52,ecoli,964,2,WNC
1996,52,ecoli,58,0,NE
1996,52,ecoli,217,3,SATL
1996,52,ecoli,140,0,ESC
1996,52,ecoli,96,1,WSC
1996,52,ecoli,335,3,MTN
1996,52,ecoli,809,6,PAC
1996,51,ecoli,4362,145,US
1996,51,ecoli,542,9,NE
1996,51,ecoli,267,3,MIDATL
1996,51,ecoli,1007,22,ENC
1996,51,ecoli,962,14,WNC
1996,51,ecoli,58,2,NE
1996,51,ecoli,214,10,SATL
1996,51,ecoli,140,3,ESC
1996,51,ecoli,95,5,WSC
1996,51,ecoli,332,10,MTN
1996,51,ecoli,803,69,PAC
1996,50,ecoli,4217,69,US
1996,50,ecoli,533,4,NE
1996,50,ecoli,264,3,MIDATL
1996,50,ecoli,985,5,ENC
1996,50,ecoli,948,21,WNC
1996,50,ecoli,56,0,NE
1996,50,ecoli,204,0,SATL
1996,50,ecoli,137,1,ESC
1996,50,ecoli,90,3,WSC
1996,50,ecoli,322,3,MTN
1996,50,ecoli,734,29,PAC
1996,49,ecoli,4148,53,US
1996,49,ecoli,529,5,NE
1996,49,ecoli,261,3,MIDATL
1996,49,ecoli,980,8,ENC
1996,49,ecoli,927,16,WNC
1996,49,ecoli,56,2,NE
1996,49,ecoli,204,3,SATL
1996,49,ecoli,136,1,ESC
1996,49,ecoli,87,2,WSC
1996,49,ecoli,319,3,MTN
1996,49,ecoli,705,12,PAC
1996,48,ecoli,4095,38,US
1996,48,ecoli,524,5,NE
1996,48,ecoli,258,2,MIDATL
1996,48,ecoli,972,7,ENC
1996,48,ecoli,911,4,WNC
1996,48,ecoli,54,0,NE
1996,48,ecoli,201,3,SATL
1996,48,ecoli,135,3,ESC
1996,48,ecoli,85,0,WSC
1996,48,ecoli,316,5,MTN
1996,48,ecoli,693,9,PAC
1996,47,ecoli,4057,211,US
1996,47,ecoli,519,115,NE
1996,47,ecoli,256,4,MIDATL
1996,47,ecoli,965,13,ENC
1996,47,ecoli,907,16,WNC
1996,47,ecoli,54,1,NE
1996,47,ecoli,198,3,SATL
1996,47,ecoli,132,4,ESC
1996,47,ecoli,85,1,WSC
1996,47,ecoli,311,10,MTN
1996,47,ecoli,684,45,PAC
1996,46,ecoli,3846,119,US
1996,46,ecoli,404,2,NE
1996,46,ecoli,252,1,MIDATL
1996,46,ecoli,952,48,ENC
1996,46,ecoli,891,7,WNC
1996,46,ecoli,53,0,NE
1996,46,ecoli,195,3,SATL
1996,46,ecoli,128,3,ESC
1996,46,ecoli,84,0,WSC
1996,46,ecoli,301,2,MTN
1996,46,ecoli,639,53,PAC
1996,45,ecoli,3727,159,US
1996,45,ecoli,402,8,NE
1996,45,ecoli,251,9,MIDATL
1996,45,ecoli,904,13,ENC
1996,45,ecoli,884,13,WNC
1996,45,ecoli,53,0,NE
1996,45,ecoli,192,7,SATL
1996,45,ecoli,125,8,ESC
1996,45,ecoli,84,3,WSC
1996,45,ecoli,299,12,MTN
1996,45,ecoli,586,86,PAC
1996,44,ecoli,3568,103,US
1996,44,ecoli,394,14,NE
1996,44,ecoli,242,0,MIDATL
1996,44,ecoli,891,16,ENC
